Path;Type;Description;Identifiant de la donnee;Libelle anglophone;Definition
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Code préco action;\Univers\Univers\Univers\Concept\Terme métier;"L'Adème met à disposition des experts et entreprise une liste d'action pré-définies permettant de réduire les consommations des entreprises. Ces actions sont identifiées par un ""code préco"".";9d19e81f-7116-4bb7-a82a-1854f8832c83;action recommandation code;
\Modèle Objets Métier - MOM\Offre - Produit - Service\Identification Offre Commerciale\Identifications locales\Code Produit;\Univers\Univers\Univers\Concept\Terme métier;Identifiant d’un produit ou d’un service lié à l’offre commerciale Bpifrance dans le système d’information.;76995b13-79d6-4927-ad8c-831042623f16;Product Code;
\Modèle Objets Métier - MOM\Offre - Produit - Service\Identification Produit Technique\Identifications locales\Code produit gestion;\Univers\Univers\Univers\Concept\Terme métier;"Le code produit de gestion est un identifiant utilisé pour catégoriser et gérer différents types de produits ou services dans un système de gestion. Voici quelques exemples de codes et leurs définitions : 
OBLPNC : Obligations avec PNC
SUBENT : SUB Entrepreneuriat
RISETAT : Etat
AUTOC : PPP EE-EXP-Engagement de crédit (Niv.1)";0e8b205b-efcd-4124-ae2b-bd8b64510e2e;Product management code;
\Modèle Objets Métier - MOM\Offre - Produit - Service\Identification Produit Technique\Identification\Code Produit legacy;\Univers\Univers\Univers\Concept\Terme métier;Identifiant d’un produit ou d’un service lié à l’offre commerciale Bpifrance dans le système d’information;ce27568e-b91d-4e50-8e31-1422b9e62c84;Legacy product code;
\Modèle Objets Métier - MOM\Offre - Produit - Service\Identification Offre Commerciale\Identifications locales\Code produit local;\Univers\Univers\Univers\Concept\Terme métier;Code produit local d'un SIG différent du code produit généré par OPS;4aa1471f-77ed-4f55-9d8b-7662bb648f8d;Local product code;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique court terme\Code régime fiscal créance;\Univers\Univers\Univers\Concept\Terme métier;CodeRégime fiscal des sociétés titulaires des créances (code du référentiel MDM : UTI01130);c03dc839-3834-4379-bc7e-c01e6ffa719e;Tax credit tax option id;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Régime matrimonial\Code régime matrimonial;\Univers\Univers\Univers\Univers\Terme métier;"Cela fait référence au régime matrimonial ou au régime de biens légal régissant les affaires financières du couple (par exemple, communauté de biens, séparation de biens, etc.).
Ici il s'agit bien du code et pas du libellé";9579f562-a07d-4d19-99c9-131a176f89ff;Matrimonial regime code;
\Modèle Objets Métier - MOM\Coordonnée\Caractéristiques spécifiques\Coordonnées physiques\Code Région;\Univers\Univers\Univers\Concept\Terme métier;Une région est, en France, une collectivité territoriale issue de la décentralisation, dotée de la personnalité juridique et d'une liberté d'administration, ainsi qu'une division administrative du territoire et des services déconcentrés de l'État. La France compte  12 régions métropolitaines.;cc78a043-6788-4af0-a826-3910c45b12a7;Country subdivision code;
\Modèle Objets Métier - MOM\Collaborateur\Caractéristiques Transverses Collaborateurs\Rattachement\Code réseau commercial;\Univers\Univers\Univers\Concept\Terme métier;Hiérarchie organisationnelle BPIfrance, niveau réseau;bb38edb4-1f06-42f1-bdad-c675524098dd;Commercial network code;
\Modèle Objets Métier - MOM\Dossier\Intervenants\Collaborateur\Code réseau décideur;\Univers\Univers\Univers\Concept\Terme métier;Hiérarchie organisationnelle BPIfrance, niveau réseau, du décideur;6310383f-8b4c-4b52-8312-a9bc43d59315;Decision maker commercial network code;
\Modèle Objets Métier - MOM\Dossier\Intervenants\Collaborateur\Code réseau étudieur;\Univers\Univers\Univers\Concept\Terme métier;Hiérarchie organisationnelle BPIfrance, niveau réseau, de l'étudieur;fa30d5fe-0b8b-495f-b914-ccd7a542180f;Decision reviewer commercial network code;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique court terme\Code réserve foncière carrière;\Univers\Univers\Univers\Concept\Terme métier;Réserve foncière de la carrière (code du référentiel MDM : UTI01193);96255352-ac51-4d89-9146-1e6b1377af73;Quarry caution land reserve id;
\Modèle Objets Métier - MOM\Tiers\Identifications Tiers\Identifications locales\Code RIAD;\Univers\Univers\Univers\Concept\Terme métier;"Le code RIAD (Register of Institutions and Affiliates Data) est un ensemble de données de référence du système européen des banques centrales (SEBC). La base de données comprend des identifiants, codes BIC, codes LEI d'entreprises et établissements financiers identifiés comme pertinents par le système des banques centrales. Il fournit un identifiant unique appelé « code RIAD ». Ce code facilite la communiquation et le transfert d'informations entre banques centrales.
https://www.banque-france.fr/sites/default/files/media/2016/11/08/orientation_bce_2014_15_fr.pdf
Les codes Riad sont entre autres utilisés dans le cadre d'Anacrédit et d'ECMS";414d1fd1-d163-4419-b40e-c1e02af6f5e4;RIAD Code;
\Modèle Objets Métier - MOM\Ressource Financière OSR\Convention\Intervenants\Code rôle du tiers convention;\Univers\Univers\Univers\Concept\Terme métier;"C'est le code du role du tiers pour le convention ""FINA"" pour Financier et ""PAYE"" Payeur.";c717380c-ad7d-4da7-b3ea-5cc65cfa047a;Code role of third-party convention;
\Modèle Objets Métier - MOM\Facture\Identifications de facture\Identifiants internes de facture\Code routage de facture;\Univers\Univers\Univers\Concept\Terme métier;Identifiant attribué par l'Acheteur et destiné au routage de la facture en interne. L'identifiant est défini par l'Acheteur (par exemple, ID de contact, service, ID de bureau, code de projet) mais est indiqué par le Vendeur dans la Facture. Si aucun schéma d'identification n'est précisé, il devrait être connu de l'Acheteur et du Vendeur, par exemple un identifiant de l'acheteur attribué par le Vendeur préalablement échangé.;51b34bd1-db3a-4174-9a63-ccdc14c5fff9;Invoice routing code;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique court terme\Code savoir-faire technique société EPS;\Univers\Univers\Univers\Concept\Terme métier;Code Savoir faire (Fort ou Faible) technique de la société qui sollicite l'engagement par signature (code du référentiel MDM : UTI00999);d364d3b8-9929-4e6f-aae0-53e4e33f508d;Signed commitments technical expertise id;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique court terme\Code secteur contrepartie emprunteuse;\Univers\Univers\Univers\Concept\Terme métier;Secteur d'activité de la contrepartie emprunteuse (code du référentiel MDM: UTI01230);a2e259e9-6ffb-46f4-a9bd-5e6ff8662129;Treasury credit activity id;
\Modèle Objets Métier - MOM\Offre - Produit - Service\Identification Service\Identifications locales\Code Service technique Legacy;\Univers\Univers\Univers\Concept\Terme métier;Identifiant unique du service technique;f870dae4-944b-4922-ac75-85343e967c1a;Technical Service Legacy Code;
\Modèle Objets Métier - MOM\Contrat\Objet du contrat\Actif\Code SIG;\Univers\Univers\Univers\Concept\Terme métier;Code permettant de définir le SIG cible dans le but d'échanger des informations (CBI/CBM/PRT);6159a1f8-59a1-42f4-98f4-4bef506500e2;SIG Code;
\Modèle Objets Métier - MOM\Offre - Produit - Service\Caractéristiques Produit Technique\Caractéristiques descriptives\Code société groupe;\Univers\Univers\Univers\Concept\Terme métier;Code de la délégation BDPME OSEO.;b930dd72-8f3f-4ee6-a174-cd958eb7f637;Group company code;
\Modèle Objets Métier - MOM\Tiers\Données descriptives générales\Statut commercial\Code Statut commercial;\Univers\Univers\Univers\Concept\Terme métier; code du statut tiers (CUSTOMER, OLD_CUSTOMER, INDIRECT_CUSTOMER, NON_CUSTOMER);0dbdeab7-72d9-428a-be84-3d2f7544a17c;Party Commercial Status Code;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique Assurance Export\Code statut enveloppe;\Univers\Univers\Univers\Concept\Terme métier;"Code du statut de l'enveloppe. Format : String (10). Valeurs autorisées : &lt;null&gt;, AC (Acceptée), AJ (Ajournée), AN (Annulée), AT (En attente), CL (Cloturée), RE (Refusée), SS (Sans Suite)";c5668eec-021e-45de-862c-9b12c8412534;Envelope status code;
\Modèle Objets Métier - MOM\Facture\Ligne de facture\Note de ligne de facture\Code sujet de la note de ligne;\Univers\Univers\Univers\Concept\Terme métier;Sujet de la note en texte suivant.;48f34cb9-04ce-4e57-b903-5751b4a332d1;Invoice line note subject code;
\Modèle Objets Métier - MOM\Contrat\Représentation comptable\Ecriture comptable\Code Taux TVA;\Univers\Univers\Univers\Concept\Terme métier;Un code taux TVA est un identifiant utilisé dans les systèmes comptables et financiers pour spécifier le taux de la Taxe sur la Valeur Ajoutée (TVA) applicable à une transaction. La TVA est une taxe indirecte sur la consommation, et son taux peut varier en fonction de la nature des biens ou services, ainsi que des régulations nationales. Les codes taux TVA permettent de catégoriser les transactions selon le taux de TVA applicable, facilitant ainsi la gestion et le calcul des taxes, la préparation des déclarations fiscales, et la conformité aux normes comptables et fiscales.;9507bd90-437a-43ab-b0ac-645e4f1a2f57;VAT Rate Code;
\Modèle Objets Métier - MOM\Sûretés\Sûretés personnelles\Caution solidaire\Code type caution;\Univers\Univers\Univers\Univers\Terme métier;Code du type de caution personne physique (type 1, 2 ou 3);972f6b2b-5961-41be-b47c-779c8db4827d;Caution type code;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Eléments financiers\Code type d'arrêté de compte;\Univers\Univers\Univers\Univers\Terme métier;Le Code type d'arrêt de compte est un paramètre clé dans Cassiopae qui détermine les règles métiers et comptables appliquées lors de la clôture d'un dossier;7fc3b231-03c3-4e1e-a14f-ce68693149e4;Account Closing Type Code;
\Modèle Objets Métier - MOM\Ressource Financière OSR\Convention\Caractéristiques descriptives\Code type de canal;\Univers\Univers\Univers\Concept\Terme métier;Code type de canal utilisé, réseau ou digital (R, D);afdd7b6b-6ed4-4089-a250-c50c000f9d65;Channel Type;
\Modèle Objets Métier - MOM\Tiers\Surveillance réglementaire\Tiers - Documents\Code Type de document;\Univers\Univers\Univers\Concept\Terme métier;Code indiquant la nature du document;901918c3-4909-45c3-9256-06d071664abc;Document Type Code;
\Modèle Objets Métier - MOM\Tiers\Surveillance réglementaire\Tiers - Sanctions\Code type de sanction;\Univers\Univers\Univers\Concept\Terme métier;"Type de sanctions auxquelles le tiers peut être soumis, et que l'on veut suivre
sanctions règlementaires : fraude fiscale, corruption, blanchiment, abus de bien social, etc.";ac6ddc66-48ac-4e68-a8ea-f285b4a9a4d3;Penalty Type Code;
\Modèle Objets Métier - MOM\Dossier\Eléments d'instruction\Notations dossier\Code Type de score;\Univers\Univers\Univers\Concept\Terme métier;Code identifiant le type de score lié à l'instruction du dossier auquel on fait référence;a6e90354-5520-4986-a159-d19e0c0e1f4d;Score Type Code;
\Modèle Objets Métier - MOM\Dossier\Eléments d'instruction\Décision\Code type décision dossier commercial;\Univers\Univers\Univers\Univers\Terme métier;"Description à réaliser par Fabrice Borner
Code Libellé court Libellé long
1	OUVERTURE	OUVERTURE 
1	MODIF	MODIFICATION 
2	PRORO	PROROGATION 
1	RENOUVEL	RENOUVELLEMENT	
2	RECONDUCT	RECONDUCTION PROVISOIRE	
2	GESTION	GESTION";cfcd2ac0-609a-42c0-af3a-1f07b83af759;Business case decision type code;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique court terme\Code type document probant financement;\Univers\Univers\Univers\Concept\Terme métier;Type de document probants à fournir pour autoriser le financement de la facture (code du référentiel UTI01147);264635b9-f2b3-48d4-9769-969124eabc43;Treasury credit supporting document To provide id;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique court terme\Code type EPS;\Univers\Univers\Univers\Concept\Terme métier;Code Type d'engagement autorisé par la ligne d'engagement par signature  (code du référentiel MDM : UTI00970);01f68568-5d85-4ec2-ac93-4c5e6b385423;Signed commitments asked object id;
\Modèle Objets Métier - MOM\Facture\Caractéristiques de facture\Caractéristiques descriptives\Code type facture;\Univers\Univers\Univers\Concept\Terme métier;"Code spécifiant le type fonctionnel de la Facture.
Les valeurs disponibles sont : 
380 : Facture commerciale
381 : Avoir (note de crédit)
384 : Facture rectificative
389 : Facture d'autofacturation (créée par l'acheteur pour le compte du fournisseur)
261 : Avoir d'autofacturation (non accepté par CHORUSPRO)
386 : Facture d'acompte
751 : Informations de facture pour comptabilisation (non accepté par CHORUSPRO)";4e68b418-bbde-42ec-9034-a70de5661783;Invoice type code;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Eléments financiers\Code type intérêt;\Univers\Univers\Univers\Univers\Terme métier;"Le code type intérêt fait référence à une classification des taux d’intérêt financiers utilisés dans un système ou un tableur. Chaque code correspond à une méthode spécifique de calcul des intérêts, comme par exemple :
IPA : Intérêt Proportionnel Actuariel
ITE : Intérêt Proportionnel
PIP : Intérêt Proportionnel Précompté
PIT : Intérêt Proportionnel Postcompté";946f64d0-aab3-41e2-83a1-9eca28906480;Interest type code;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique court terme\Code type justificatif créances cédées;\Univers\Univers\Univers\Concept\Terme métier;Type de justificatif applicable aux créances cédées (code du référentiel MDM : UTI00753);559c3599-1fbb-4716-8b49-b24fc40cfc2e;Treasury credit  locking level id;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique court terme\Code type marché finançable;\Univers\Univers\Univers\Concept\Terme métier;Type de marché finançable par la ligne de crédit (code du référentiel MDM : UTI01008);06f1db90-ee4c-4ff1-8558-a3e596abddb0;Treasury credit marketsType id;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique court terme\Code type ordonnateur;\Univers\Univers\Univers\Concept\Terme métier;Type d'ordonnateur  (code du référentiel UTI01009);965c5bc8-7cb6-4921-979d-7065f981c344;Treasury credit contractor type id;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique court terme\Code typologie adossement EPS;\Univers\Univers\Univers\Concept\Terme métier;Code Typologie de l'adossement du marché concerné par l'EPS (code du référentiel MDM : UTI00922);a0e29dd3-3cf8-4902-b5b7-4bcd4fbe70b7;Signed commitments markets backing id;
\Modèle Objets Métier - MOM\Contrat\Objet du contrat\Actif\Code UIC SNCF de la Gare;\Univers\Univers\Univers\Concept\Terme métier;Code UIC de la gare par la SNCF : le dernier chiffre est un checksum;7f05a1b4-0fc6-4250-8d68-cefbb5cabe8c;SNCF code UIC;
\Modèle Objets Métier - MOM\Contrat\Objet du contrat\Actif\Code UN/LOCODE;\Univers\Univers\Univers\Concept\Terme métier;UN/LOCODE (United Nation/LOcation CODE) est un code géographique élaboré et géré par la Commission économique des Nations unies pour l'Europe (CEE-ONU ou UNECE en anglais), un organisme de l'Organisation des Nations unies.;514fa578-e808-4964-a133-35be019096be;Port code;
\Modèle Objets Métier - MOM\Ressource Financière OSR\Convention\Catégories de gestion\Code Variante;\Univers\Univers\Univers\Concept\Terme métier;Un code variante est un identifiant utilisé pour spécifier une variation ou une version spécifique d'un produit, d'un service, ou d'une transaction dans les systèmes de gestion et de comptabilité. Ce code permet de différencier les variantes d'un même élément, facilitant ainsi la gestion, le suivi, et l'analyse des données. Les variantes peuvent inclure des différences dans les caractéristiques, les conditions, les configurations, ou les modalités d'un produit ou service. ;29ed31cc-bcd9-4c48-afac-3d11217e5851;Variant code;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques générales\Informations de contractualisation\Code vendeur;\Univers\Univers\Univers\Univers\Terme métier;Code du canal de vente utilisé lors de la souscription.  France num ou BPI France;9dade19c-a6b0-4043-9e7d-5097fc5541df;Seller Identification;
\Modèle Objets Métier - MOM\Contrat\Objet du contrat\Actif\Code VIN;\Univers\Univers\Univers\Concept\Terme métier;Il s'agit du Vehicle Identification Number (VIN), un identifiant unique composé de 17 caractères pour chaque véhicule. Le VIN permet d'identifier un véhicule spécifique et contient des informations sur sa fabrication, son modèle et ses caractéristiques techniques.;7eb915c0-8f1b-4fc1-b0f2-38e2b1c11e22;VIN Code;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Echéancier - Loyers\Coefficient de progression;\Univers\Univers\Univers\Univers\Terme métier;"Ce coefficient permet de calculer les échéances.
Un des types d'amortissement possible est le remboursement avec une échéance de capital + Intérêt constante,
 ce qui correspond à une suite géométrique avec comme raison le coefficient de progression";bfc86e06-b944-409b-bdc9-1e94c6f679a6;Progression coefficient;
\Modèle Objets Métier - MOM\Contrat\Objet du contrat\Actif\Coefficient EVE;\Univers\Univers\Univers\Concept\Terme métier;Coefficient final à appliquer à la valorisation du bien pour déterminer la valorisation finale;eb97d8e2-b916-4b58-bc15-c3dcf7503a3c;EVE factor;
\Modèle Objets Métier - MOM\Ressource Financière OSR\Sous-fonds\Caractéristiques descriptives\Coefficient multiplicateur;\Univers\Univers\Univers\Concept\Terme métier;Un coefficient multiplicateur est un facteur utilisé pour ajuster ou convertir des valeurs dans les calculs financiers et économiques. Il permet de multiplier une valeur par un nombre spécifique pour obtenir une nouvelle valeur, souvent utilisée pour des ajustements de prix, des calculs de rendement, des projections financières, ou des analyses de performance. Par exemple, un coefficient multiplicateur peut être appliqué pour convertir des prix de gros en prix de détail, ajuster des valeurs en fonction de l'inflation, ou calculer des rendements sur des investissements.;f7d4bddc-18d4-42e6-bbec-b2122283ea1a;Multiplier Coefficient;
\Modèle Objets Métier - MOM\Dossier\Intervenants\Collaborateur\Collaborateur interne à l'origine du dossier;\Univers\Univers\Univers\Concept\Terme métier;Identifiant du collaborateur à l'origine de la détection de l'opportunité;fe7967af-f138-41c7-a6f8-783fb7162f04;Business Case Originator;
\Modèle Objets Métier - MOM\Dossier\Intervenants\Collaborateur\Collaborateur interne rattaché au dossier;\Univers\Univers\Univers\Concept\Terme métier;Collaborateur intervenant dans le cadre de l'instruction du dossier;eab10883-4707-41e8-9c2e-a059a7958399;Business Case attached Employee;
\Modèle Objets Métier - MOM\Dossier\Intervenants\Collaborateur\Collaborateur interne Valideur de l'Offre;\Univers\Univers\Univers\Concept\Terme métier;Collaborateur BPI qui valide l'offre commerciale pour envoi au client. Le collaborateur est identifié par son identifiant interne sinon son matricule;f177e2ac-68c0-4989-92c0-2939372c12a6;Customer Proposition Validator;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique Assurance Export\Commentaire accord AE;\Univers\Univers\Univers\Concept\Terme métier;Commentaire sur l'accord assurance export;427bf159-652a-446b-a18e-04ead6824202;Agreement Comment AE;
\Modèle Objets Métier - MOM\Contrat\Intervenants\Intervenant collaborateur\Commentaire collaborateur contrat;\Univers\Univers\Univers\Univers\Terme métier;Commentaire du ou des employés à l'origine de l'acte de gestion (COF / ROF / ...);1e3a6e04-08ca-4c33-8d62-94028f7d07d0;Customer agreement employee comment;
\Modèle Objets Métier - MOM\Facture\Ligne de facture\Note de ligne de facture\Commentaire de ligne de facture;\Univers\Univers\Univers\Concept\Terme métier;Commentaire fournissant des informations non structurées concernant la ligne de Facture.;f5d065e1-a066-441f-a1dc-41aacf29e761;Invoice line note;
\Modèle Objets Métier - MOM\Dossier\Caractéristiques Générales\Informations signalétiques\Commentaire du décideur réseau;\Univers\Univers\Univers\Concept\Terme métier;Commentaire et avis du décideur réseau sur le dossier et les contrôles effectués;80ea65dc-a55a-45b5-bb18-7a13f9e4b827;Decision Maker Comment;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique Assurance Export\Commentaire enveloppe;\Univers\Univers\Univers\Concept\Terme métier;"Commentaires relatifs à&nbsp;l'enveloppe.";c47bf27b-52d6-42a8-a49b-14f2edd3f8a9;Envelope comment;
\Modèle Objets Métier - MOM\Dossier\Eléments d'instruction\Eléments du projet\Commentaire géographie;\Univers\Univers\Univers\Concept\Terme métier;Un commentaire géographie est une note ou une observation ajoutée à des données ou des rapports pour fournir des informations supplémentaires, des explications, ou des contextes spécifiques relatifs à des aspects géographiques. Ces commentaires peuvent inclure des détails sur la localisation, les caractéristiques géographiques, les conditions économiques et sociales d'une région, ou des analyses relatives à la géographie d'un marché ou d'une zone d'activité.;c0d9318e-ee37-4e95-93d3-56ca7a279359;Geography Comment;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique court terme\Commentaire gestionnaire ligne à instruire;\Univers\Univers\Univers\Concept\Terme métier;Commentaire du gestionnaire sur le fonctionnement de la ligne à instruire;eea773ef-e649-419d-b6e1-de261ba45dad;Treasury credit  manager comment;
\Modèle Objets Métier - MOM\Tiers\Identifications Tiers\Identification\Commentaire Tiers;\Univers\Univers\Univers\Concept\Terme métier;Commentaire récupéré une application externe ou interne type permettant d'avoir une idée de la philosophie d'un tiers (Entreprise ou Fonds, ect );5c389632-b06a-45d4-8dca-a524025ee3bc;Third Party commentary;
\Modèle Objets Métier - MOM\Document\Structure physique\Support matériel\Commentaires;\Univers\Univers\Univers\Concept\Terme métier;Commentaires et annotations ajoutés sur le document.;7350524d-7139-47e0-9026-a1811b55e11a;File Note;
\Modèle Objets Métier - MOM\Dossier\Eléments d'instruction\Notations dossier\Commentaires rejet dossier;\Univers\Univers\Univers\Concept\Terme métier;Représente des annotations ou des explications fournies lors du rejet d'une demande. Ces commentaires visent à justifier la décision de rejet, à apporter des précisions ou à guider d'éventuelles corrections ou améliorations.;a2dd4106-58f8-40f9-bda3-baa4f19c0573;Rejection comments;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Eléments financiers\Commission;\Univers\Univers\Univers\Univers\Terme métier;"Eléments facturés dans le cadre de l'exécution d'un contrat, complémentaire de l'objet principal, hors intérêts et loyers. Les commissions peuvent être liés à l'activation, la vie ou la terminaison d'un contrat, d'un produit ou d'un service.
Commission : Elément facturé dans la durée dans le cadre de l'exécution d'un contrat, complémentaire de l'objet principal, hors intérêts et loyers.
Exemples: commission d'arrangeur, commission d'apport, commission d'engagement, commission de non utilisation, etc
En terme de critère de cohérence, il faut s'assurer que le code d'imputation analytique, le libellé et l'intitulé soient cohérents pour assurer une qualité de donnée optimale.
Il faut s'assurer que les codes d'imputation analytiques commission soient désactivés à la saisie en cas d'arrêt de leur usage.
Lien de la page neurone pour la liste exhaustives des imputations analytiques PRT existante: __Imputations analytiques existantes - Cassiopae - Neurones (bpifrance.fr)
Critère d’exactitude : s’assurer que les codes soient encore utilisés (dans le cas contraire, demander la désactivation systématique à la saisie de ces codes)";9d5e6c62-827b-4d16-a150-6bf5cd4d313f;Commission;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Eléments financiers\Commission d'affacturage sur les montants cédés et acceptés (ou commission de cession);\Univers\Univers\Univers\Univers\Terme métier;Correspond à une commission d'affacturage sur le Chiffre d'Affaires;20391b97-7e7a-4fb9-a610-d169b85796bc;Factoring Commission On Accepted And Ceded Sales Revenue;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Eléments financiers\Commission d'engagement sur la majoration;\Univers\Univers\Univers\Univers\Terme métier;"Champs spécifique au produit club. 
La commission d'engagement peut être souhaitée : il s'agit de la dérogation demandée par le CA de la commission d'engagement (CE) qui s'applique sur le montant autorisé.
La commission peut être validée : Il s'agit de la dérogation accordée par le décideur sur une première période de 1 mois sur la commission d'engagement (CE) qui s'applique sur le montant autorisé
Elle est de 0,30% minimum et peut être abaissée à 0,20% sur décision dérogatoire
A ce taux, il est potentiellement possible d'ajouter une commission de garantie (GAC).";84d1a29f-b19f-433d-8a9e-0f48e3ec7de7;Markup Engagement fee;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Eléments financiers\Commission d'engagement sur la marge validée;\Univers\Univers\Univers\Univers\Terme métier;"Dérogation accordée par le décideur sur la deuxième période de 5 mois sur la commission d'engagement (CE) qui s'applique sur le montant autorisé - elle est de 0,30% minimum et peut être abaissée à 0,20% sur décision dérogatoire; taux auquel s'ajoute potentiellement une commission de garantie (GAC)";f0be716a-73d1-4408-a05a-98491f9919a9;Engagement fee on validated margin;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Eléments financiers\Commission d'engagement(CE) (MAX F);\Univers\Univers\Univers\Univers\Terme métier;"Coût de confirmation du crédit. 
Définition DAR : 
Le Club est un produit dont le taux client est décomposé en deux commissions : 
-	Une commission d’engagement (CE) : % sur le montant de la ligne accordé
-	Une commission d’utilisation (CU) : % sur l'utilisation de la ""ligne""";171803eb-cf19-4f05-bfd9-c859757f05fa;Commitment Fee;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Eléments financiers\Commission d'utilisation (CU);\Univers\Univers\Univers\Univers\Terme métier;La commission d'utilisation est un pourcentage sur l'utilisation de la ligne de financement.;ffeeff2c-e74a-413c-8692-982d2425ded9;Utilisation fee;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Eléments financiers\Commission d'utilisation month to date;\Univers\Univers\Univers\Univers\Terme métier;Somme de commission d'utilisation, du montant bonifié, de la marge sur intérêt month to date;7a9257b5-4de9-400a-9015-7b964349d0c6;Utilization Fee Sum Month to date;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Eléments financiers\Commission d'utilisation sur la majoration;\Univers\Univers\Univers\Univers\Terme métier;"Champs spécifique au produit Club. 
La commission d'utilisation peut être souhaitée : dérogation demandée par le CA de la commission d'utilisation (CU) qui s'applique sur l'utilisation de la ligne de financement - Elle est composée d'un TCI variable + euribor (3 mois ou 1 mois) et d'une marge souhaitée par un CA.
La commission d'utilisation peut être validée : dérogation accordée par le décideur sur la première période de 1 mois sur la commission d'utilisation (CU) qui s'applique sur l'utilisation de la ligne de financement - elle est composée d'un TCI variable + euribor (3 mois ou 1 mois) et d'une marge validée par un décideur.";1f89a1c3-b596-4b89-a091-6b42ecb0bfcc;Markup Utilisation Fee;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Eléments financiers\Commission d'utilisation sur la marge validée;\Univers\Univers\Univers\Univers\Terme métier;Champs spécifique au produit club. Dérogation accordée par le décideur sur la deuxième période de 5 mois sur la commission d'utilisation (CU) qui s'applique sur l'utilisation de la ligne de financement - elle est composée d'un TCI variable + euribor (3 mois ou 1 mois) et d'une marge validée par un décideur .;1dfe61c8-5610-455d-8630-310b612b6e54;User fee on the validated margin;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Eléments financiers\Commission d'utilisation year to date;\Univers\Univers\Univers\Univers\Terme métier;Somme de commission d'utilisation, du montant bonifié, de la marge sur intérêt. en year to date;a1c5df2f-e560-4326-9448-244f17208143;Utilization Fee year to date;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Eléments financiers\Commission de non utilisation (CNU)(UMF);\Univers\Univers\Univers\Univers\Terme métier;A utiliser avec la CE en combinant un taux reduit (voir nul) de la CE sur l'utilisation et un taux plein (CNU) sur la non utilisation;c312a046-01e5-4f6a-ab63-901883fda3c9;Non Use Fee;
\Modèle Objets Métier - MOM\Tiers\Informations financières\Données financières privées\Commission sur la transaction;\Univers\Univers\Univers\Concept\Terme métier;Commission pris sur la transaction;7dde95a4-c0d1-40b3-88d4-68f56ee1a783;Transaction fee;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Eléments financiers\Commissions Courues Non  Échues (CCNE);\Univers\Univers\Univers\Univers\Terme métier;"Définition Universelle :
Les Commissions Courues Non Echues (CCNE) correspondent à des charges (pour le client emprunteur ou débiteur) ou des produits (pour l'établissement financier ou créancier) qui restent à payer (par le débiteur) ou à percevoir (par le créancier) lors d'exercices (ou d'arrêtés) comptables ultérieurs. 
Les CCNE sont donc des commissions dues par le client emprunteur mais qui n'ont pas encore été payées (car non encore exigibles contractuellement) à la date de clôture de l'exercice comptable considéré (ou à la date de l'arrêté comptable considérée).
Définition(s) Opérationnelle(s) (Contexte Bpifrance) :
Au sein de Bpifrance, le montant des Commissions (d'engagement, de confirmation, d'utilisation, etc.) Courues Non Echues (CCNE) concerne, à ce jour et en pratique, les filières CBI-CBE, CBM, FCT et Club. 
Il se limite à la Quote-Part Bpifrance et correspond à sa valeur comptable (à la date d'arrêté comptable considérée).";0e57fe4c-c305-4e9e-9034-a9de73dac498;Matured commissions not yet due;
